SimulationName  Clock.Today  Structure.MainStemNodeNo
()  (yyyy-mm-dd)  ()
Lincoln1993Sowing22Feb1994CultivarTrounce  1994-03-14  2.73
Lincoln1993Sowing22Feb1994CultivarTrounce  1994-03-18  3.40
Lincoln1993Sowing22Feb1994CultivarTrounce  1994-03-23  4.13
Lincoln1993Sowing22Feb1994CultivarTrounce  1994-03-30  5.33
Lincoln1993Sowing22Feb1994CultivarTrounce  1994-04-06  6.97
Lincoln1993Sowing22Feb1994CultivarTrounce  1994-04-12  8.83
Lincoln1993Sowing22Feb1994CultivarTrounce  1994-04-20  11.10
Lincoln1993Sowing22Feb1994CultivarTrounce  1994-04-29  12.79
Lincoln1993Sowing22Feb1994CultivarTrounce  1994-05-05  13.96
Lincoln1993Sowing22Feb1994CultivarTrounce  1994-05-11  14.94
Lincoln1993Sowing22Feb1994CultivarTrounce  1994-05-17  15.07
Lincoln1993Sowing22Feb1994CultivarTrounce  1994-05-31  17.61
Lincoln1993Sowing22Feb1994CultivarTrounce  1994-06-20  19.14
Lincoln1993Sowing22Feb1994CultivarTrounce  1994-07-06  20.14
Lincoln1993Sowing22Feb1994CultivarRovar  1994-02-22  0.00
Lincoln1993Sowing22Feb1994CultivarRovar  1994-03-14  3.03
Lincoln1993Sowing22Feb1994CultivarRovar  1994-03-18  3.90
Lincoln1993Sowing22Feb1994CultivarRovar  1994-03-23  4.37
